chapter_id,period_label,header,title,line_start,line_end,char_count_non_ws,sentence_count,mean_sentence_len,dialogue_char_ratio
1,0,第1章 甄士隐梦幻识通灵 贾雨村风尘怀闺秀,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,1,67,6734,266,24.4511,0.355212
2,0,第2章 贾夫人仙逝扬州城 冷子兴演说荣国府,贾夫人仙逝扬州城 冷子兴演说荣国府,68,89,5667,200,27.545,0.589554
3,0,第3章 托内兄如海荐西宾 接外孙贾母惜孤女,托内兄如海荐西宾 接外孙贾母惜孤女,90,118,7879,300,25.39,0.32466
4,0,第4章 薄命女偏逢簿命郎 葫芦僧判断葫芦案,薄命女偏逢簿命郎 葫芦僧判断葫芦案,119,135,5360,180,28.8944,0.498694
5,0,第5章 贾宝玉神游太虚境 警幻仙曲演红楼梦,贾宝玉神游太虚境 警幻仙曲演红楼梦,136,231,7278,302,23.6424,0.267793
6,0,第6章 贾宝玉初试云雨情 刘老老一进荣国府,贾宝玉初试云雨情 刘老老一进荣国府,232,252,6990,277,24.3069,0.463233
7,0,第7章 送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,253,273,7005,284,23.7394,0.550607
8,0,第8章 贾宝玉奇缘识金锁 薛宝钗巧合认通灵,贾宝玉奇缘识金锁 薛宝钗巧合认通灵,274,298,6264,270,22.2889,0.387292
9,0,第9章 训劣子李贵承申饬 嗔顽童茗烟闹书房,训劣子李贵承申饬 嗔顽童茗烟闹书房,299,316,5415,199,26.2915,0.359926
10,0,第10章 金寡妇贪利权受辱 张太医论病细穷源,金寡妇贪利权受辱 张太医论病细穷源,317,334,4813,173,27.1676,0.726574
11,0,第11章 庆寿辰宁府排家宴 见熙凤贾瑞起淫心,庆寿辰宁府排家宴 见熙凤贾瑞起淫心,335,358,5547,219,24.5297,0.553813
12,0,第12章 王熙凤毒设相思局 贾天祥正照风月鉴,王熙凤毒设相思局 贾天祥正照风月鉴,359,372,4148,182,21.8736,0.309788
13,0,第13章 秦可卿死封龙禁尉 王熙凤协理宁国府,秦可卿死封龙禁尉 王熙凤协理宁国府,373,391,4866,188,24.9628,0.431155
14,0,第14章 林如海灵返苏州郡 贾宝玉路遏北静王,林如海灵返苏州郡 贾宝玉路遏北静王,392,412,5083,180,27.2778,0.317529
15,0,第15章 王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,王凤姐弄权铁槛寺 秦鲸卿得趣馒头庵,413,428,4742,195,23.3744,0.337832
16,0,第16章 贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,429,451,7132,286,24.021,0.533932
17,0,第17章 大观园试才题对额 荣国府归省庆元宵,大观园试才题对额 荣国府归省庆元宵,452,482,8942,386,22.2876,0.475621
18,0,第18章 皇恩重元妃省父母 天伦乐宝玉呈才藻,皇恩重元妃省父母 天伦乐宝玉呈才藻,483,565,5972,237,24.73,0.224715
19,0,第19章 情切切良宵花解语 意绵绵静日玉生香,情切切良宵花解语 意绵绵静日玉生香,566,592,9042,383,22.6997,0.515926
20,0,第20章 王熙凤正言弹妒意 林黛玉俏语谑娇音,王熙凤正言弹妒意 林黛玉俏语谑娇音,593,609,5137,231,21.3074,0.529687
21,0,第21章 贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,贤袭人娇嗔箴宝玉 俏平儿软语救贾琏,610,633,5898,259,21.888,0.349949
22,0,第22章 听曲文宝玉悟禅机 制灯迷贾政悲谶语,听曲文宝玉悟禅机 制灯迷贾政悲谶语,634,686,6678,298,21.651,0.412998
23,0,第23章 西厢记妙词通戏语 牡丹亭艳曲警芳心,西厢记妙词通戏语 牡丹亭艳曲警芳心,687,723,5248,194,26.1753,0.315549
24,0,第24章 醉金刚轻财尚义侠 痴女儿遗帕惹相思,醉金刚轻财尚义侠 痴女儿遗帕惹相思,724,742,7703,302,24.5364,0.472803
25,0,第25章 魇魔法叔嫂逢五鬼 通灵玉蒙蔽遇双真,魇魔法叔嫂逢五鬼 通灵玉蒙蔽遇双真,743,776,6606,275,23.1527,0.382228
26,0,第26章 蜂腰桥设言传心事 潇湘馆春困发幽情,蜂腰桥设言传心事 潇湘馆春困发幽情,777,804,7214,299,23.2475,0.439839
27,0,第27章 滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,805,848,6383,270,22.7296,0.536582
28,0,第28章 蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,849,888,9385,420,21.481,0.514544
29,0,第29章 享福人福深还祷福 多情女情重愈斟情,享福人福深还祷福 多情女情重愈斟情,889,912,8506,323,25.3994,0.434047
30,0,第30章 宝钗借扇机带双敲 椿龄画蔷痴及局外,宝钗借扇机带双敲 椿龄画蔷痴及局外,913,931,5741,224,24.7143,0.375022
